Trials,l2,v1,ax,Oax,A,OA,Total Height
1,0.983,-0.27,0.0435,3.30E-04,0.0208,5.50E-05,3.00E-03
2,0.996,-0.25,0.0419,4.50E-04,0.0199,5.40E-05,3.00E-03
3,1.304,-0.2,0.04441,2.70E-04,0.0209,4.50E-05,3.00E-03
4,1.041,-0.33,0.0452,3.40E-04,0.0217,5.30E-05,3.00E-03
5,1.013,-0.25,0.0412,1.40E-03,0.0206,5.40E-05,3.00E-03
6,1.059,-0.17,0.0426,1.00E-03,0.0218,5.30E-05,3.00E-03
7,1.007,-0.22,0.0426,3.50E-04,0.0208,5.00E-05,3.00E-03
8,1.021,-0.26,0.043,2.80E-04,0.0207,5.00E-05,3.00E-03
9,1.014,-0.33,0.043,6.60E-04,0.0206,5.30E-05,3.00E-03
10,1.043,-0.28,0.0439,3.50E-05,0.0211,5.20E-05,3.00E-03
