Trials,l2,v1,ax,Oax,A,OA,Total Height
1,1.065,-0.19,0.0252,1.60E-04,0.0121,2.50E-05,2.00E-03
2,1.062,-0.19,0.0252,1.80E-04,0.0122,2.70E-05,2.00E-03
3,1.043,-0.17,0.0257,1.90E-04,0.0124,3.50E-05,2.00E-03
4,1.058,-0.22,0.0249,1.60E-04,0.012,2.30E-05,2.00E-03
5,0.957,-0.18,0.0233,1.80E-04,0.0115,2.00E-05,2.00E-03
6,1.02,-0.22,0.0239,1.40E-04,0.0117,1.90E-05,2.00E-03
7,1.015,-0.18,0.0224,1.50E-04,0.0111,1.90E-05,2.00E-03
8,0.969,-0.12,0.0224,2.10E-04,0.0111,2.20E-05,2.00E-03
9,1.024,-0.2,0.0252,2.70E-04,0.0123,2.20E-05,2.00E-03
10,0.979,-0.18,0.0229,1.80E-04,0.0113,2.00E-05,2.00E-03
